Call  | Code | PC      | Cyc   | SP      | regA | regB | regC | regD | regE | regH | regL |flgZ|flgS|flgP|flgC|flgAC|
40028 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40029 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40030 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40031 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40032 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x45 | 0x00 | 0x20 | 0x1e | 0xd3 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40033 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x45 | 0x00 | 0x20 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40034 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40035 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40036 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40037 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40038 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40039 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40040 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40041 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x49 | 0x00 | 0x20 | 0x1e | 0xd4 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40042 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x49 | 0x00 | 0x20 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  1 |  0 |   0 | 
40043 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x49 | 0x05 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  1 |  0 |   0 | 
40044 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x49 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40045 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x49 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40046 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x49 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40047 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x51 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40048 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x51 | 0x04 | 0x00 | 0x1e | 0xd4 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40049 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x51 | 0x04 | 0x00 | 0x1e | 0xd5 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40050 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x51 | 0x00 | 0x20 | 0x1e | 0xd5 | 0x27 | 0x9c |  0 |  0 |  0 |  0 |   0 | 
40051 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x51 | 0x00 | 0x20 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  0 |  0 |   0 | 
40052 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x51 | 0x04 | 0x00 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  0 |  0 |   0 | 
40053 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x51 | 0x03 | 0x00 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
40054 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x51 | 0x03 | 0x00 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
40055 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x51 | 0x03 | 0x00 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
40056 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x3e | 0x03 | 0x00 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
40057 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x3e | 0x03 | 0x00 | 0x1e | 0xd5 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
